Country or area,Urban Agglomeration,Latitude,Longitude,Population (in thousands),Country Code,proportion dirty fuel,estimated population burning dirty fuels,proportion electricity access,proportion below $1 per day,estimated addressable population
Argentina,San Salvador de Jujuy,-24.1946,-65.2971,361,ARG,0.0,0.0,1.0,0.0024211109359821,0
Oman,Masqat (Muscat),23.6139,58.5922,1550,OMN,0.0,0.0,1.0,0.0,0
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,544,TTO,0.0,0.0,1.0,0.0024798950195312,0
Egypt,Az-Zaqazig,30.5875,31.5019,358,EGY,0.0,0.0,1.0,0.000123138970561471,0
Saudi Arabia,Tabuk,28.3833,36.5833,657,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Thuqbah,26.2694,50.1986,344,SAU,0.0,0.0,1.0,0.0,0
Argentina,Rosario,-32.9468,-60.6393,1532,ARG,0.0,0.0,1.0,0.0024211109359821,0
Argentina,San Miguel de Tucumán,-26.8241,-65.2226,986,ARG,0.0,0.0,1.0,0.0024211109359821,0
Argentina,Santiago Del Estero,-27.7951,-64.2615,436,ARG,0.0,0.0,1.0,0.0024211109359821,0
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,2392,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Syrian Arab Republic,Al-Raqqa,35.95,39.0167,522,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Syrian Arab Republic,Deir El-Zor(Deir ez-Zor),35.3322,40.1502,323,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Syrian Arab Republic,Tartus,34.8932,35.8884,424,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Syrian Arab Republic,Halab (Aleppo),36.2136,37.1571,1917,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Syrian Arab Republic,Hamah,35.1318,36.7578,922,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Syrian Arab Republic,Hims (Homs),34.7318,36.7181,1336,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Syrian Arab Republic,Lattakia,35.5148,35.7768,656,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Saudi Arabia,Taif,21.2703,40.4158,689,SAU,0.0,0.0,1.0,0.0,0
Syrian Arab Republic,Al-Hasakah,36.5024,40.7477,391,SYR,0.0,0.0,1.0,0.00010386852552857499,0
Saudi Arabia,Makkah (Mecca),21.4174,39.8159,2042,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Al-Madinah (Medina),24.4635,39.6111,1489,SAU,0.0,0.0,1.0,0.0,0
Oman,Salahah (Salalah),17.0123,54.0894,420,OMN,0.0,0.0,1.0,0.0,0
Qatar,Ar-Rayyan,25.2919,51.4244,738,QAT,0.0,0.0,1.0,0.0,0
Argentina,Resistencia,-27.4606,-58.9839,432,ARG,0.0,0.0,1.0,0.0024211109359821,0
Saudi Arabia,Buraydah,26.326,43.975,669,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Khubar,26.2794,50.2083,329,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Khamis Mushayt,18.3064,42.7292,548,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Jubayl,27.0112,49.6583,606,SAU,0.0,0.0,1.0,0.0,0
Argentina,Mendoza,-32.8908,-68.8272,1173,ARG,0.0,0.0,1.0,0.0024211109359821,0
Saudi Arabia,Jiddah,21.5169,39.2192,4610,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Hufuf-Mubarraz,25.41,49.5808,837,SAU,0.0,0.0,1.0,0.0,0
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,641,QAT,0.0,0.0,1.0,0.0,0
Saudi Arabia,Ha'il,27.5219,41.6907,400,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,7231,SAU,0.0,0.0,1.0,0.0,0
Qatar,Doha Industrial Area,25.2222,51.4222,419,QAT,0.0,0.0,1.0,0.0,0
Saudi Arabia,Najran,17.4924,44.1277,410,SAU,0.0,0.0,1.0,0.0,0
Argentina,Mar Del Plata,-38.0023,-57.5575,666,ARG,0.0,0.0,1.0,0.0024211109359821,0
Tunisia,Safaqis,34.7485,10.7562,630,TUN,0.0,0.0,1.0,0.0,0
Tunisia,Tunis,36.819,10.1658,2365,TUN,0.0,0.0,1.0,0.0,0
Turkmenistan,Ashgabat,37.95,58.3833,846,TKM,0.0,0.0,1.0,0.0872361477572559,0
Argentina,La Plata,-34.9215,-57.9545,884,ARG,0.0,0.0,1.0,0.0024211109359821,0
Saudi Arabia,Hafar al-Batin,28.4251,45.9688,353,SAU,0.0,0.0,1.0,0.0,0
Saudi Arabia,Ad-Dammam,26.4344,50.1033,1253,SAU,0.0,0.0,1.0,0.0,0
Argentina,Salta,-24.7859,-65.4117,685,ARG,0.0,0.0,1.0,0.0024211109359821,0
Algeria,Blida,36.4808,2.8319,473,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Greece,Athínai (Athens),37.9534,23.749,3153,GRC,0.0,0.0,1.0,0.0038663734986546,0
Algeria,El Djelfa,34.6728,3.263,503,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Algeria,Wahran (Oran),35.6911,-0.6417,899,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Egypt,Al-Ismailiyah,30.6043,32.2723,354,EGY,0.0,0.0,1.0,0.000123138970561471,0
Greece,Thessaloniki,40.6403,22.9439,812,GRC,0.0,0.0,1.0,0.0038663734986546,0
Algeria,Qacentina,36.3549,6.6073,414,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Egypt,Al-Qahirah (Cairo),30.0392,31.2394,20901,EGY,0.0,0.0,1.0,0.000123138970561471,0
Egypt,Bur Sa'id,31.2565,32.2841,737,EGY,0.0,0.0,1.0,0.000123138970561471,0
Egypt,Kafr-ad-Dawwar,31.1339,30.1284,344,EGY,0.0,0.0,1.0,0.000123138970561471,0
Egypt,Al-Fayyum,29.31,30.8418,410,EGY,0.0,0.0,1.0,0.000123138970561471,0
Belarus,Brest,52.0976,23.6878,359,BLR,0.0,0.0,1.0,0.0,0
Algeria,Annaba,36.9,7.7667,358,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Egypt,Aswan,24.0934,32.907,345,EGY,0.0,0.0,1.0,0.000123138970561471,0
Argentina,Córdoba,-31.4135,-64.1811,1572,ARG,0.0,0.0,1.0,0.0024211109359821,0
Argentina,Buenos Aires,-34.6051,-58.4004,15154,ARG,0.0,0.0,1.0,0.0024211109359821,0
Argentina,Bahia Blanca,-38.7196,-62.2724,316,ARG,0.0,0.0,1.0,0.0024211109359821,0
Argentina,Corrientes,-27.4806,-58.8341,408,ARG,0.0,0.0,1.0,0.0024211109359821,0
Egypt,As-Suways,29.9681,32.5475,638,EGY,0.0,0.0,1.0,0.000123138970561471,0
Egypt,Al-Mahallah al-Kubra,30.9745,31.165,518,EGY,0.0,0.0,1.0,0.000123138970561471,0
Egypt,Tanta,30.7872,30.9995,501,EGY,0.0,0.0,1.0,0.000123138970561471,0
Algeria,Batna,35.556,6.1741,329,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Argentina,Neuquén-Plottier-Cipolletti,-38.9514,-68.0648,409,ARG,0.0,0.0,1.0,0.0024211109359821,0
Egypt,Al-Iskandariyah (Alexandria),31.1925,29.9046,5281,EGY,0.0,0.0,1.0,0.000123138970561471,0
Belarus,Grodno,53.6884,23.8258,387,BLR,0.0,0.0,1.0,0.0,0
Belarus,Minsk,53.9,27.5667,2028,BLR,0.0,0.0,1.0,0.0,0
Belarus,Mogilev,53.9141,30.3376,388,BLR,0.0,0.0,1.0,0.0,0
Belarus,Vitebsk,55.1905,30.2033,378,BLR,0.0,0.0,1.0,0.0,0
Saudi Arabia,Yanbu' al-Bahr,24.0891,38.0637,335,SAU,0.0,0.0,1.0,0.0,0
Argentina,Santa Fe,-31.6327,-60.6983,563,ARG,0.0,0.0,1.0,0.0024211109359821,0
Belarus,Gomel,52.4345,30.9754,558,BLR,0.0,0.0,1.0,0.0,0
Argentina,San Juan,-31.5375,-68.5364,537,ARG,0.0,0.0,1.0,0.0024211109359821,0
Algeria,Sétif,36.1911,5.4137,313,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Algeria,El Djazaïr  (Algiers),36.7525,3.042,2768,DZA,0.0,0.0,0.9988401030999999,0.00089329833984375,0
Jordan,Tila al-Ali,31.9936,35.8628,327,JOR,0.0,0.0,1.0,0.0,0
Jordan,Irbid,32.5556,35.85,557,JOR,0.0,0.0,1.0,0.0,0
Jordan,Ar-Rusayfah,32.0156,36.0428,524,JOR,0.0,0.0,1.0,0.0,0
Jordan,Amman,31.9552,35.945,2148,JOR,0.0,0.0,1.0,0.0,0
Jordan,Al-Quwaysimah,31.9167,35.95,385,JOR,0.0,0.0,1.0,0.0,0
Egypt,Al-Mansurah,31.0364,31.3807,556,EGY,0.0,0.0,1.0,0.000123138970561471,0
Jordan,Zarqa,32.0683,36.0889,729,JOR,0.0,0.0,1.0,0.0,0
Argentina,Posadas,-27.3671,-55.8961,389,ARG,0.0,0.0,1.0,0.0024211109359821,0
Egypt,Asyut,27.181,31.1837,461,EGY,0.0,0.0,1.0,0.000123138970561471,0
